Ciudad,Categoría del problema,Categoria numerica,Nivel de urgencia,Fecha del reporte
Bucaramanga,Educación,2,4,2023-01-12
Cartagena,Medio Ambiente,4,3,2023-10-06
Pereira,Seguridad,3,3,2024-04-28
Cartagena,Seguridad,3,2,2023-08-30
Pereira,Medio Ambiente,4,3,2023-08-22
Medellín,Salud,1,4,2023-04-27
Santa Marta,Salud,1,1,2024-08-01
Pereira,Educación,2,1,2023-10-18
Santa Marta,Salud,1,4,2024-02-09
Bucaramanga,Medio Ambiente,4,1,2024-06-14
Bogotá,Medio Ambiente,4,2,2023-04-28
Medellín,Medio Ambiente,4,2,2024-04-30
Manizales,Educación,2,1,2023-05-22
Pereira,Educación,2,3,2023-07-20
Cúcuta,Seguridad,3,3,2023-10-14
Cali,Medio Ambiente,4,1,2024-09-26
Bogotá,Salud,1,1,2023-04-03
Bucaramanga,Medio Ambiente,4,1,2024-10-14
Bogotá,Medio Ambiente,4,1,2024-06-22
Manizales,Salud,1,3,2024-06-19
Cali,Seguridad,3,1,2024-07-26
Pereira,Educación,2,4,2024-08-31
Cartagena,Salud,1,1,2024-07-30
Bucaramanga,Educación,2,2,2023-10-25
Cali,Medio Ambiente,4,2,2023-04-06
Bucaramanga,Educación,2,3,2023-05-01
Bucaramanga,Medio Ambiente,4,1,2024-07-20
Bucaramanga,Educación,2,1,2024-10-18
Pereira,Educación,2,4,2024-11-20
Cartagena,Educación,2,2,2024-06-30
Bucaramanga,Educación,2,4,2024-03-04
Pereira,Educación,2,4,2024-02-26
Cartagena,Salud,1,4,2024-01-12
Cali,Educación,2,1,2023-04-14
Cartagena,Medio Ambiente,4,4,2024-01-23
Barranquilla,Medio Ambiente,4,2,2024-05-26
Medellín,Seguridad,3,4,2023-09-30
Barranquilla,Medio Ambiente,4,4,2023-10-14
Manizales,Medio Ambiente,4,2,2023-09-25
Bucaramanga,Medio Ambiente,4,1,2023-01-22
Barranquilla,Medio Ambiente,4,2,2024-04-13
Cúcuta,Salud,1,3,2023-04-05
Manizales,Educación,2,3,2023-01-04
Cúcuta,Educación,2,1,2023-10-22
Bogotá,Medio Ambiente,4,4,2024-11-04
Bucaramanga,Medio Ambiente,4,2,2023-04-13
Medellín,Seguridad,3,4,2024-10-08
Bucaramanga,Medio Ambiente,4,1,2023-01-29
Medellín,Educación,2,3,2023-07-03
Manizales,Salud,1,1,2023-09-21
Pereira,Educación,2,2,2023-06-10
Manizales,Seguridad,3,1,2023-09-21
Manizales,Educación,2,4,2023-05-27
Santa Marta,Seguridad,3,1,2024-09-26
Cartagena,Medio Ambiente,4,3,2024-06-27
Cali,Seguridad,3,3,2023-07-26
Bucaramanga,Seguridad,3,4,2023-07-25
Bogotá,Seguridad,3,3,2024-07-10
Medellín,Medio Ambiente,4,3,2023-02-23
Bucaramanga,Medio Ambiente,4,1,2023-07-28
Bogotá,Educación,2,2,2023-08-09
Manizales,Medio Ambiente,4,2,2024-08-12
Santa Marta,Seguridad,3,4,2024-02-21
Santa Marta,Seguridad,3,4,2024-11-02
Barranquilla,Medio Ambiente,4,3,2023-09-15
Manizales,Educación,2,3,2023-11-21
Cartagena,Educación,2,1,2023-03-07
Manizales,Medio Ambiente,4,1,2023-08-12
Bucaramanga,Seguridad,3,3,2023-07-14
Santa Marta,Salud,1,1,2023-06-10
Cartagena,Educación,2,4,2024-02-24
Cartagena,Educación,2,4,2023-07-27
Medellín,Salud,1,1,2023-02-03
Cartagena,Salud,1,1,2024-07-26
Medellín,Educación,2,2,2023-01-17
Cúcuta,Seguridad,3,4,2024-07-24
Pereira,Salud,1,3,2023-08-23
Cúcuta,Medio Ambiente,4,3,2023-12-09
Cali,Educación,2,2,2024-11-11
Cúcuta,Seguridad,3,2,2024-08-21
Medellín,Medio Ambiente,4,2,2023-08-03
Barranquilla,Seguridad,3,1,2023-07-10
Bogotá,Medio Ambiente,4,3,2023-11-02
Medellín,Salud,1,2,2023-10-05
Bogotá,Educación,2,4,2024-10-05
Bogotá,Seguridad,3,4,2024-02-13
Manizales,Medio Ambiente,4,3,2023-09-26
Cúcuta,Salud,1,4,2024-01-01
Manizales,Educación,2,1,2023-02-06
Bucaramanga,Educación,2,4,2024-05-09
Cartagena,Educación,2,2,2023-10-05
Medellín,Salud,1,3,2023-12-29
Cartagena,Educación,2,4,2023-10-18
Santa Marta,Medio Ambiente,4,4,2024-05-02
Cartagena,Seguridad,3,1,2023-01-31
Cali,Educación,2,3,2023-12-12
Medellín,Salud,1,3,2023-06-02
Cali,Educación,2,2,2023-06-28
Bogotá,Medio Ambiente,4,3,2023-04-04
Cartagena,Seguridad,3,2,2023-06-12
Santa Marta,Educación,2,4,2023-06-06
Pereira,Seguridad,3,3,2024-07-27
Santa Marta,Salud,1,4,2024-06-18
Santa Marta,Salud,1,4,2023-01-16
Bogotá,Educación,2,1,2024-08-29
Pereira,Seguridad,3,4,2024-03-03
Bogotá,Medio Ambiente,4,4,2024-06-28
Cali,Educación,2,2,2023-02-15
Pereira,Medio Ambiente,4,4,2023-02-20
Cartagena,Salud,1,2,2024-11-26
Medellín,Seguridad,3,1,2023-03-25
Santa Marta,Educación,2,3,2023-06-18
Cali,Educación,2,4,2024-10-09
Cartagena,Seguridad,3,1,2024-04-11
Santa Marta,Salud,1,3,2024-03-08
Bogotá,Salud,1,4,2024-08-05
Pereira,Seguridad,3,4,2024-04-01
Barranquilla,Medio Ambiente,4,3,2024-11-13
Medellín,Educación,2,4,2024-04-07
Cali,Salud,1,4,2023-02-08
Bucaramanga,Seguridad,3,1,2024-03-11
Manizales,Medio Ambiente,4,4,2024-11-06
Pereira,Seguridad,3,3,2023-10-06
Santa Marta,Seguridad,3,4,2023-02-02
Manizales,Medio Ambiente,4,3,2024-05-09
Pereira,Seguridad,3,4,2024-09-05
Santa Marta,Medio Ambiente,4,4,2024-10-31
Bucaramanga,Educación,2,2,2024-07-19
Barranquilla,Seguridad,3,3,2024-04-02
Barranquilla,Educación,2,4,2023-08-26
Medellín,Medio Ambiente,4,2,2023-01-01
Manizales,Medio Ambiente,4,4,2023-01-30
Cali,Medio Ambiente,4,2,2023-03-03
Bucaramanga,Seguridad,3,1,2023-01-26
Santa Marta,Medio Ambiente,4,3,2023-09-30
Cúcuta,Salud,1,3,2023-05-16
Medellín,Medio Ambiente,4,2,2023-10-02
Manizales,Educación,2,2,2024-11-05
Manizales,Medio Ambiente,4,2,2023-01-04
Bogotá,Educación,2,1,2024-02-15
Cali,Seguridad,3,1,2023-02-15
Pereira,Medio Ambiente,4,2,2023-09-20
Cúcuta,Educación,2,4,2023-03-05
Barranquilla,Medio Ambiente,4,2,2024-10-17
Cúcuta,Educación,2,1,2023-06-23
Manizales,Salud,1,3,2023-05-04
Cartagena,Medio Ambiente,4,3,2024-11-05
Bucaramanga,Seguridad,3,1,2023-11-17
Manizales,Medio Ambiente,4,1,2024-10-09
Cúcuta,Educación,2,1,2024-07-08
Bucaramanga,Medio Ambiente,4,1,2024-05-03
Santa Marta,Salud,1,2,2024-10-12
Cali,Salud,1,2,2023-02-14
Cartagena,Salud,1,1,2024-03-31
Pereira,Medio Ambiente,4,1,2023-11-18
Cúcuta,Educación,2,1,2023-11-27
Barranquilla,Medio Ambiente,4,1,2023-11-04
Medellín,Educación,2,2,2023-09-12
Cúcuta,Salud,1,4,2023-01-28
Barranquilla,Educación,2,2,2024-05-28
Cartagena,Medio Ambiente,4,4,2023-12-27
Cúcuta,Educación,2,4,2023-11-26
Bucaramanga,Educación,2,4,2023-10-17
Barranquilla,Salud,1,3,2023-06-25
Cali,Educación,2,4,2023-03-19
Pereira,Salud,1,2,2024-01-03
Pereira,Educación,2,3,2024-08-09
Bucaramanga,Medio Ambiente,4,4,2024-11-29
Barranquilla,Educación,2,4,2023-06-16
Medellín,Seguridad,3,3,2024-02-19
Medellín,Medio Ambiente,4,1,2024-10-21
Bogotá,Medio Ambiente,4,4,2024-09-15
Santa Marta,Educación,2,2,2024-06-02
Manizales,Seguridad,3,4,2024-10-24
Cali,Medio Ambiente,4,4,2023-06-30
Cali,Salud,1,1,2023-02-09
Cúcuta,Seguridad,3,3,2024-04-02
Pereira,Educación,2,1,2024-08-28
Santa Marta,Seguridad,3,2,2024-08-21
Cali,Salud,1,2,2023-05-21
Pereira,Educación,2,3,2023-02-05
Cúcuta,Seguridad,3,4,2023-02-08
Manizales,Medio Ambiente,4,2,2024-01-02
Bucaramanga,Educación,2,4,2023-12-21
Bogotá,Salud,1,4,2023-04-25
Bogotá,Medio Ambiente,4,4,2024-11-18
Medellín,Salud,1,3,2024-02-02
Bucaramanga,Medio Ambiente,4,4,2024-03-15
Cali,Medio Ambiente,4,2,2023-10-18
Medellín,Medio Ambiente,4,4,2024-03-02
Cartagena,Medio Ambiente,4,4,2023-03-28
Cali,Salud,1,3,2023-09-17
Barranquilla,Salud,1,2,2023-10-05
Medellín,Educación,2,1,2024-07-04
Pereira,Salud,1,1,2024-09-30
Barranquilla,Seguridad,3,1,2024-01-10
Pereira,Salud,1,2,2023-08-27
Bogotá,Salud,1,4,2023-01-16
Santa Marta,Seguridad,3,4,2023-05-06
Medellín,Educación,2,4,2024-06-10
Medellín,Medio Ambiente,4,1,2024-04-18
Bogotá,Educación,2,2,2023-04-26
Bogotá,Medio Ambiente,4,3,2024-09-29
Cartagena,Educación,2,3,2023-09-29
Manizales,Seguridad,3,1,2024-01-29
Manizales,Educación,2,3,2023-10-31
Bogotá,Medio Ambiente,4,3,2024-03-19
Medellín,Seguridad,3,4,2023-05-19
Santa Marta,Salud,1,3,2023-09-17
Barranquilla,Educación,2,1,2023-08-09
Cartagena,Seguridad,3,3,2023-05-17
Santa Marta,Salud,1,1,2024-08-13
Manizales,Medio Ambiente,4,4,2023-11-04
Santa Marta,Salud,1,4,2024-02-06
Barranquilla,Seguridad,3,4,2024-02-08
Cali,Seguridad,3,4,2023-05-03
Pereira,Medio Ambiente,4,2,2024-03-14
Bucaramanga,Medio Ambiente,4,3,2023-07-29
Cúcuta,Educación,2,4,2023-11-05
Manizales,Seguridad,3,3,2023-02-22
Manizales,Medio Ambiente,4,1,2024-06-16
Bogotá,Educación,2,1,2023-04-29
Bogotá,Seguridad,3,1,2024-10-20
Cúcuta,Medio Ambiente,4,3,2023-03-05
Bucaramanga,Medio Ambiente,4,1,2023-08-13
Bogotá,Medio Ambiente,4,3,2023-08-03
Cúcuta,Educación,2,3,2023-08-19
Cali,Educación,2,4,2023-01-26
Medellín,Salud,1,4,2024-02-20
Pereira,Medio Ambiente,4,3,2023-01-08
Medellín,Educación,2,4,2024-04-28
Pereira,Salud,1,1,2024-02-13
Bucaramanga,Educación,2,4,2023-03-17
Pereira,Salud,1,2,2023-09-05
Manizales,Medio Ambiente,4,2,2024-09-08
Cali,Salud,1,2,2023-07-27
Manizales,Seguridad,3,2,2023-11-21
Manizales,Medio Ambiente,4,2,2024-11-23
Pereira,Salud,1,4,2024-09-02
Cúcuta,Seguridad,3,1,2023-11-22
Medellín,Educación,2,1,2024-03-12
Cúcuta,Salud,1,1,2023-08-01
Cali,Seguridad,3,3,2024-07-21
Manizales,Medio Ambiente,4,4,2023-07-25
Santa Marta,Medio Ambiente,4,1,2023-10-01
Pereira,Salud,1,3,2023-04-18
Santa Marta,Seguridad,3,1,2023-10-22
Cartagena,Salud,1,4,2023-11-11
Cartagena,Salud,1,2,2024-09-17
Medellín,Educación,2,1,2024-05-11
Santa Marta,Seguridad,3,3,2023-12-23
Bucaramanga,Medio Ambiente,4,4,2024-02-16
Barranquilla,Medio Ambiente,4,2,2024-07-09
Santa Marta,Salud,1,1,2023-01-21
Cartagena,Medio Ambiente,4,4,2024-03-08
Cartagena,Educación,2,3,2023-02-08
Medellín,Educación,2,4,2023-03-25
Manizales,Medio Ambiente,4,3,2024-09-20
Cúcuta,Educación,2,3,2023-06-21
Bucaramanga,Educación,2,3,2024-09-17
Manizales,Salud,1,4,2023-10-14
Bogotá,Medio Ambiente,4,1,2024-05-10
Barranquilla,Seguridad,3,3,2023-10-29
Bucaramanga,Salud,1,1,2023-03-27
Cali,Salud,1,4,2023-12-22
Santa Marta,Seguridad,3,1,2024-06-27
Pereira,Educación,2,1,2024-02-21
Bucaramanga,Medio Ambiente,4,4,2023-08-21
Santa Marta,Salud,1,4,2024-06-17
Cartagena,Salud,1,1,2024-05-21
Bogotá,Medio Ambiente,4,4,2024-09-24
Manizales,Salud,1,2,2024-07-03
Santa Marta,Seguridad,3,4,2023-09-09
Cúcuta,Educación,2,3,2023-09-29
Pereira,Educación,2,4,2024-10-29
Bucaramanga,Educación,2,1,2024-04-06
Manizales,Seguridad,3,1,2023-12-05
Bucaramanga,Medio Ambiente,4,3,2023-03-11
Pereira,Educación,2,3,2023-05-14
Manizales,Educación,2,3,2024-05-19
Cali,Medio Ambiente,4,3,2024-11-19
Santa Marta,Medio Ambiente,4,2,2024-10-13
Cali,Educación,2,3,2023-08-22
Manizales,Salud,1,1,2023-10-14
Bogotá,Educación,2,4,2023-01-28
Pereira,Educación,2,1,2023-09-09
Pereira,Salud,1,1,2024-01-02
Cúcuta,Salud,1,4,2024-03-20
Cali,Seguridad,3,4,2023-11-13
Bogotá,Salud,1,2,2024-05-22
Cali,Educación,2,2,2023-12-15
Cali,Seguridad,3,3,2024-02-04
Pereira,Salud,1,2,2023-05-08
Manizales,Medio Ambiente,4,4,2024-02-08
Cartagena,Seguridad,3,3,2023-01-28
Santa Marta,Salud,1,2,2024-01-09
Cali,Seguridad,3,3,2024-08-11
Bucaramanga,Salud,1,3,2023-06-18
Cúcuta,Medio Ambiente,4,1,2023-12-21
Cali,Seguridad,3,2,2024-06-06
Bucaramanga,Medio Ambiente,4,2,2023-01-29
Bogotá,Educación,2,2,2023-01-25
Santa Marta,Educación,2,2,2024-03-28
Bucaramanga,Seguridad,3,3,2023-11-08
Santa Marta,Seguridad,3,4,2024-10-29
Medellín,Educación,2,1,2023-03-22
Bucaramanga,Educación,2,2,2024-10-18
Bucaramanga,Seguridad,3,4,2024-10-22
Bucaramanga,Medio Ambiente,4,4,2023-02-21
Cúcuta,Educación,2,1,2024-01-29
Cali,Seguridad,3,1,2023-12-22
Bogotá,Medio Ambiente,4,2,2024-02-05
Bucaramanga,Medio Ambiente,4,2,2024-10-27
Manizales,Medio Ambiente,4,3,2024-08-31
Barranquilla,Medio Ambiente,4,2,2024-03-31
Bucaramanga,Medio Ambiente,4,4,2024-06-01
Cúcuta,Educación,2,3,2024-10-11
Pereira,Medio Ambiente,4,3,2023-11-04
Barranquilla,Educación,2,2,2023-09-22
Barranquilla,Educación,2,4,2024-08-22
Manizales,Medio Ambiente,4,3,2023-07-08
Pereira,Educación,2,2,2023-12-04
Medellín,Salud,1,1,2023-09-19
Medellín,Seguridad,3,4,2023-10-26
Bogotá,Medio Ambiente,4,4,2024-08-23
Barranquilla,Educación,2,1,2023-09-01
Barranquilla,Medio Ambiente,4,1,2023-05-02
Medellín,Educación,2,4,2023-08-21
Barranquilla,Salud,1,4,2023-11-29
Santa Marta,Salud,1,2,2024-09-29
Bucaramanga,Seguridad,3,1,2024-02-27
Manizales,Educación,2,1,2023-07-05
Santa Marta,Educación,2,2,2023-12-30
Pereira,Salud,1,1,2024-01-13
Cali,Medio Ambiente,4,1,2024-01-06
Cartagena,Medio Ambiente,4,4,2023-06-12
Santa Marta,Salud,1,3,2024-04-29
Manizales,Medio Ambiente,4,2,2023-07-02
Cúcuta,Salud,1,2,2023-12-15
Cúcuta,Medio Ambiente,4,3,2023-04-27
Bucaramanga,Medio Ambiente,4,1,2024-04-15
Bogotá,Salud,1,1,2024-04-20
Cúcuta,Medio Ambiente,4,1,2023-03-04
Cartagena,Medio Ambiente,4,2,2024-11-28
Medellín,Medio Ambiente,4,1,2024-11-12
Medellín,Seguridad,3,1,2023-07-19
Santa Marta,Salud,1,3,2024-09-03
Cali,Seguridad,3,3,2023-09-22
Cúcuta,Educación,2,3,2024-03-27
Barranquilla,Seguridad,3,1,2023-12-02
Cúcuta,Seguridad,3,2,2024-05-21
Manizales,Salud,1,4,2024-02-02
Barranquilla,Educación,2,2,2023-11-14
Manizales,Educación,2,3,2024-04-27
Medellín,Medio Ambiente,4,1,2023-07-05
Cali,Medio Ambiente,4,2,2023-07-29
Cúcuta,Salud,1,1,2024-10-08
Cali,Salud,1,1,2024-09-08
Cali,Medio Ambiente,4,1,2023-09-27
Barranquilla,Medio Ambiente,4,4,2023-03-11
Cúcuta,Educación,2,4,2023-09-24
Cúcuta,Educación,2,2,2023-05-28
Santa Marta,Salud,1,2,2024-04-25
Bogotá,Medio Ambiente,4,4,2024-01-26
Cali,Salud,1,2,2024-09-29
Santa Marta,Educación,2,4,2024-09-13
Cali,Educación,2,4,2023-08-14
Manizales,Educación,2,1,2024-05-25
Santa Marta,Seguridad,3,1,2023-07-09
Santa Marta,Medio Ambiente,4,2,2024-07-04
Bogotá,Seguridad,3,2,2023-09-18
Medellín,Seguridad,3,1,2023-11-24
Bucaramanga,Seguridad,3,4,2024-09-20
Medellín,Educación,2,3,2024-02-09
Cúcuta,Educación,2,2,2023-03-27
Medellín,Salud,1,4,2023-03-13
Barranquilla,Educación,2,4,2024-06-28
Bucaramanga,Salud,1,2,2023-06-09
Bogotá,Medio Ambiente,4,4,2023-03-06
Manizales,Medio Ambiente,4,2,2023-12-29
Cartagena,Educación,2,1,2023-10-02
Barranquilla,Educación,2,3,2023-11-26
Bogotá,Educación,2,1,2023-10-07
Santa Marta,Seguridad,3,3,2024-09-26
Medellín,Educación,2,4,2023-03-10
Cartagena,Medio Ambiente,4,3,2023-07-20
Manizales,Medio Ambiente,4,1,2024-03-15
Bogotá,Salud,1,3,2023-03-24
Cali,Educación,2,4,2024-07-24
Bucaramanga,Seguridad,3,3,2023-01-03
Cúcuta,Salud,1,3,2024-02-03
Cali,Seguridad,3,4,2023-06-16
Pereira,Educación,2,3,2024-08-31
Bogotá,Educación,2,4,2024-02-09
Cartagena,Educación,2,3,2023-02-02
Cartagena,Medio Ambiente,4,2,2024-03-05
Manizales,Medio Ambiente,4,2,2024-04-27
Medellín,Seguridad,3,4,2023-12-01
Cartagena,Educación,2,1,2023-02-13
Bucaramanga,Medio Ambiente,4,3,2024-05-10
Manizales,Medio Ambiente,4,1,2024-09-19
Santa Marta,Seguridad,3,2,2024-06-07
Cartagena,Educación,2,2,2024-03-01
Pereira,Seguridad,3,4,2023-08-11
Medellín,Salud,1,3,2023-07-11
Barranquilla,Educación,2,2,2023-01-06
Cartagena,Educación,2,2,2023-01-26
Manizales,Seguridad,3,2,2024-06-04
Cúcuta,Seguridad,3,2,2023-11-28
Bogotá,Educación,2,3,2023-05-10
Cartagena,Educación,2,4,2023-12-04
Barranquilla,Educación,2,4,2023-07-15
Bogotá,Medio Ambiente,4,2,2023-08-16
Pereira,Educación,2,4,2023-01-22
Medellín,Educación,2,3,2024-07-29
Pereira,Medio Ambiente,4,3,2023-08-04
Barranquilla,Seguridad,3,4,2024-05-03
Medellín,Medio Ambiente,4,2,2023-12-06
Santa Marta,Medio Ambiente,4,3,2024-05-23
Bucaramanga,Salud,1,3,2023-06-22
Bogotá,Medio Ambiente,4,4,2024-08-12
Bucaramanga,Salud,1,3,2023-06-04
Cartagena,Educación,2,2,2023-09-03
Santa Marta,Medio Ambiente,4,3,2023-04-03
Santa Marta,Seguridad,3,2,2024-09-01
Bogotá,Educación,2,1,2024-10-27
Cartagena,Educación,2,4,2023-10-07
Manizales,Medio Ambiente,4,4,2023-08-26
Cartagena,Medio Ambiente,4,2,2023-09-02
Cali,Medio Ambiente,4,1,2023-07-02
Santa Marta,Seguridad,3,2,2023-03-24
Cúcuta,Educación,2,1,2023-01-03
Bogotá,Medio Ambiente,4,3,2023-04-06
Bogotá,Salud,1,3,2023-12-31
Bucaramanga,Educación,2,1,2023-03-24
Cúcuta,Medio Ambiente,4,1,2024-05-31
Bogotá,Educación,2,3,2024-04-29
Bogotá,Educación,2,1,2023-09-20
Pereira,Educación,2,3,2023-01-09
Barranquilla,Seguridad,3,1,2023-05-20
Bogotá,Educación,2,3,2023-08-11
Manizales,Seguridad,3,4,2024-06-25
Bucaramanga,Educación,2,2,2024-08-22
Manizales,Seguridad,3,3,2024-10-20
Bogotá,Salud,1,2,2024-11-21
Bogotá,Educación,2,4,2024-08-28
Pereira,Salud,1,3,2023-04-25
Bucaramanga,Seguridad,3,3,2023-06-08
Cali,Salud,1,4,2024-04-26
Cali,Salud,1,2,2023-07-07
Cartagena,Seguridad,3,4,2023-12-16
Bucaramanga,Salud,1,3,2023-12-03
Cartagena,Medio Ambiente,4,1,2023-03-15
Cúcuta,Seguridad,3,1,2024-05-29
Medellín,Educación,2,4,2023-03-05
Santa Marta,Seguridad,3,4,2023-08-19
Barranquilla,Salud,1,2,2024-09-09
Barranquilla,Seguridad,3,1,2023-09-28
Manizales,Educación,2,3,2024-03-24
Manizales,Medio Ambiente,4,1,2023-11-06
Manizales,Salud,1,2,2023-03-16
Barranquilla,Salud,1,1,2024-11-19
Bogotá,Salud,1,3,2023-09-07
Cúcuta,Educación,2,4,2024-04-28
Cúcuta,Educación,2,1,2023-12-21
Bogotá,Medio Ambiente,4,4,2023-09-15
Santa Marta,Medio Ambiente,4,2,2024-07-01
Cúcuta,Medio Ambiente,4,3,2023-01-15
Cali,Seguridad,3,2,2023-05-05
Cartagena,Educación,2,2,2024-03-18
Cartagena,Educación,2,3,2023-07-25
Barranquilla,Medio Ambiente,4,3,2024-02-18
Pereira,Medio Ambiente,4,4,2023-07-03
Cartagena,Medio Ambiente,4,2,2023-01-23
Pereira,Educación,2,1,2024-01-22
Cúcuta,Medio Ambiente,4,2,2023-11-27
Manizales,Medio Ambiente,4,4,2023-01-10
Bogotá,Salud,1,2,2023-02-05
Bucaramanga,Medio Ambiente,4,2,2023-10-13
Barranquilla,Salud,1,4,2023-07-21
Cúcuta,Seguridad,3,2,2024-06-23
Bucaramanga,Medio Ambiente,4,2,2023-06-27
Cali,Salud,1,4,2024-06-30
Barranquilla,Medio Ambiente,4,1,2024-12-01
Manizales,Medio Ambiente,4,2,2024-03-10
Medellín,Seguridad,3,2,2023-05-13
Medellín,Medio Ambiente,4,3,2023-09-17
Bucaramanga,Medio Ambiente,4,3,2023-07-08
Santa Marta,Educación,2,4,2023-06-09
Bucaramanga,Educación,2,1,2024-10-10
Bogotá,Medio Ambiente,4,3,2023-10-27
Santa Marta,Salud,1,1,2024-05-26
Santa Marta,Educación,2,4,2024-04-21
Manizales,Seguridad,3,3,2023-02-20
Bucaramanga,Educación,2,3,2023-12-25
Cali,Medio Ambiente,4,1,2023-02-04
Santa Marta,Educación,2,1,2024-01-30
Barranquilla,Salud,1,4,2024-08-08
Santa Marta,Salud,1,2,2024-07-18
Cartagena,Salud,1,1,2023-05-23
Pereira,Salud,1,4,2023-09-14
Cúcuta,Seguridad,3,3,2023-02-13
Barranquilla,Salud,1,1,2024-01-07
Medellín,Educación,2,4,2023-09-19
Manizales,Educación,2,4,2024-10-11
Pereira,Educación,2,2,2023-04-27
Pereira,Seguridad,3,2,2023-12-27
Bogotá,Educación,2,4,2024-03-20
Santa Marta,Educación,2,2,2024-07-08
Medellín,Medio Ambiente,4,1,2024-12-01
Manizales,Educación,2,1,2023-03-25
Barranquilla,Medio Ambiente,4,1,2023-12-05
Pereira,Medio Ambiente,4,2,2023-10-13
Bogotá,Medio Ambiente,4,2,2024-05-13
Cúcuta,Salud,1,2,2023-02-10
Manizales,Medio Ambiente,4,1,2023-02-11
Barranquilla,Educación,2,4,2024-05-04
Cali,Salud,1,3,2024-10-27
Bogotá,Salud,1,4,2024-08-23
Bucaramanga,Educación,2,3,2023-08-27
Cali,Seguridad,3,3,2023-02-11
Medellín,Educación,2,2,2024-07-13
Cúcuta,Educación,2,2,2024-11-26
Cali,Seguridad,3,1,2024-03-15
Barranquilla,Educación,2,1,2024-03-28
Bogotá,Seguridad,3,2,2023-04-07
Cali,Educación,2,1,2024-03-10
Cartagena,Salud,1,4,2023-11-25
Manizales,Medio Ambiente,4,2,2024-05-31
Cartagena,Medio Ambiente,4,2,2023-03-20
Bogotá,Seguridad,3,2,2023-12-15
Cali,Educación,2,2,2024-05-11
Bucaramanga,Educación,2,2,2024-07-18
Cartagena,Medio Ambiente,4,3,2023-06-09
Medellín,Medio Ambiente,4,3,2023-10-07
Cúcuta,Seguridad,3,2,2024-08-15
Cartagena,Educación,2,1,2024-10-12
Cúcuta,Salud,1,4,2024-11-15
Barranquilla,Medio Ambiente,4,4,2024-06-22
Cali,Medio Ambiente,4,3,2023-11-08
Cartagena,Medio Ambiente,4,4,2024-06-27
Bucaramanga,Seguridad,3,2,2023-07-09
Santa Marta,Educación,2,2,2024-04-11
Medellín,Seguridad,3,3,2024-08-25
Cúcuta,Salud,1,4,2023-12-30
Bogotá,Educación,2,4,2023-08-03
Santa Marta,Educación,2,3,2024-11-11
Pereira,Medio Ambiente,4,4,2023-10-26
Cartagena,Educación,2,3,2024-01-16
Pereira,Educación,2,1,2023-01-08
Cúcuta,Seguridad,3,3,2023-01-19
Cúcuta,Medio Ambiente,4,2,2024-03-16
Bogotá,Educación,2,3,2023-12-12
Bogotá,Medio Ambiente,4,2,2023-01-11
Cali,Seguridad,3,1,2023-02-21
Cartagena,Medio Ambiente,4,3,2023-07-14
Cartagena,Salud,1,2,2024-07-26
Pereira,Educación,2,1,2024-07-26
Cúcuta,Educación,2,1,2023-09-05
Santa Marta,Educación,2,2,2024-07-14
Manizales,Educación,2,3,2023-10-06
Medellín,Salud,1,4,2024-05-12
Santa Marta,Seguridad,3,3,2024-05-01
Santa Marta,Educación,2,1,2024-03-10
Barranquilla,Educación,2,4,2023-01-04
Cartagena,Salud,1,1,2024-11-20
Bogotá,Medio Ambiente,4,2,2023-10-09
Medellín,Medio Ambiente,4,2,2023-09-12
Manizales,Educación,2,4,2023-11-24
Cali,Educación,2,1,2024-05-20
Cali,Medio Ambiente,4,2,2023-07-08
Medellín,Educación,2,4,2023-11-18
Manizales,Educación,2,2,2023-01-03
Cartagena,Seguridad,3,1,2024-09-19
Medellín,Salud,1,3,2024-11-07
Cali,Medio Ambiente,4,3,2024-10-30
Santa Marta,Medio Ambiente,4,4,2024-06-26
Pereira,Educación,2,4,2023-10-01
Cúcuta,Seguridad,3,1,2023-12-26
Cúcuta,Salud,1,1,2023-06-10
Cartagena,Educación,2,4,2023-11-04
Medellín,Medio Ambiente,4,1,2024-03-09
Barranquilla,Medio Ambiente,4,1,2024-01-04
Cali,Medio Ambiente,4,4,2023-05-31
Cúcuta,Medio Ambiente,4,3,2024-09-27
Bucaramanga,Medio Ambiente,4,2,2024-02-28
Santa Marta,Educación,2,1,2024-04-23
Manizales,Medio Ambiente,4,4,2024-09-13
Bucaramanga,Salud,1,3,2024-08-19
Cali,Salud,1,1,2024-01-22
Barranquilla,Medio Ambiente,4,4,2024-09-30
Bucaramanga,Medio Ambiente,4,4,2024-07-30
Barranquilla,Medio Ambiente,4,2,2024-06-28
Cúcuta,Educación,2,2,2023-05-14
Cali,Educación,2,2,2024-04-18
Manizales,Seguridad,3,2,2023-11-15
Barranquilla,Educación,2,4,2024-08-24
Bucaramanga,Salud,1,3,2024-10-30
Santa Marta,Seguridad,3,3,2023-03-26
Bogotá,Seguridad,3,2,2024-02-23
Bogotá,Salud,1,1,2023-12-23
Cartagena,Educación,2,4,2024-05-04
Cartagena,Seguridad,3,1,2023-05-13
Cúcuta,Educación,2,2,2023-07-26
Bogotá,Medio Ambiente,4,3,2024-09-26
Manizales,Medio Ambiente,4,1,2023-05-14
Pereira,Medio Ambiente,4,1,2023-02-07
Manizales,Salud,1,2,2023-09-08
Santa Marta,Salud,1,1,2023-06-01
