Ciudad,Comentario,Categoría del problema,Categoria numerica,Nivel de urgencia,Fecha del reporte
Manizales,la contaminación del río está aumentando.,Medio Ambiente,4,2,2023-07-02
Cúcuta,falta agua potable en varias casas.,Salud,1,2,2023-12-15
Cúcuta,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2023-04-27
Bucaramanga,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2024-04-15
Bogotá,faltan médicos en el centro de salud.,Salud,1,1,2024-04-20
Cúcuta,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-03-04
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2024-11-28
Medellín,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2024-11-12
Medellín,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-07-19
Santa Marta,faltan médicos en el centro de salud.,Salud,1,3,2024-09-03
Cali,queremos más presencia policial.,Seguridad,3,3,2023-09-22
Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2024-03-27
Barranquilla,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-12-02
Cúcuta,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2024-05-21
Manizales,faltan médicos en el centro de salud.,Salud,1,4,2024-02-02
Barranquilla,necesitamos más acceso a internet en la zona.,Educación,2,2,2023-11-14
Manizales,necesitamos más acceso a internet en la zona.,Educación,2,3,2024-04-27
Medellín,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-07-05
Cali,la contaminación del río está aumentando.,Medio Ambiente,4,2,2023-07-29
Cúcuta,faltan médicos en el centro de salud.,Salud,1,1,2024-10-08
Cali,faltan médicos en el centro de salud.,Salud,1,1,2024-09-08
Cali,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-09-27
Barranquilla,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-03-11
Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2023-09-24
Cúcuta,necesitamos más acceso a internet en la zona.,Educación,2,2,2023-05-28
Santa Marta,falta agua potable en varias casas.,Salud,1,2,2024-04-25
Bogotá,la contaminación del río está aumentando.,Medio Ambiente,4,4,2024-01-26
Cali,faltan médicos en el centro de salud.,Salud,1,2,2024-09-29
Santa Marta,no hay suficientes escuelas públicas.,Educación,2,4,2024-09-13
Cali,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2023-08-14
Manizales,necesitamos más acceso a internet en la zona.,Educación,2,1,2024-05-25
Santa Marta,queremos más presencia policial.,Seguridad,3,1,2023-07-09
Santa Marta,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2024-07-04
Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2023-09-18
Medellín,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-11-24
Bucaramanga,queremos más presencia policial.,Seguridad,3,4,2024-09-20
Medellín,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2024-02-09
Cúcuta,necesitamos más acceso a internet en la zona.,Educación,2,2,2023-03-27
Medellín,falta agua potable en varias casas.,Salud,1,4,2023-03-13
Barranquilla,necesitamos más acceso a internet en la zona.,Educación,2,4,2024-06-28
Bucaramanga,falta agua potable en varias casas.,Salud,1,2,2023-06-09
Bogotá,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2023-03-06
Manizales,la contaminación del río está aumentando.,Medio Ambiente,4,2,2023-12-29
Cartagena,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2023-10-02
Barranquilla,no hay suficientes escuelas públicas.,Educación,2,3,2023-11-26
Bogotá,no hay suficientes escuelas públicas.,Educación,2,1,2023-10-07
Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2024-09-26
Medellín,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2023-03-10
Cartagena,la contaminación del río está aumentando.,Medio Ambiente,4,3,2023-07-20
Manizales,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2024-03-15
Bogotá,faltan médicos en el centro de salud.,Salud,1,3,2023-03-24
Cali,necesitamos más acceso a internet en la zona.,Educación,2,4,2024-07-24
Bucaramanga,queremos más presencia policial.,Seguridad,3,3,2023-01-03
Cúcuta,falta agua potable en varias casas.,Salud,1,3,2024-02-03
Cali,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-06-16
Pereira,no hay suficientes escuelas públicas.,Educación,2,3,2024-08-31
Bogotá,necesitamos más acceso a internet en la zona.,Educación,2,4,2024-02-09
Cartagena,no hay suficientes escuelas públicas.,Educación,2,3,2023-02-02
Cartagena,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-03-05
Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2024-04-27
Medellín,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-12-01
Cartagena,no hay suficientes escuelas públicas.,Educación,2,1,2023-02-13
Bucaramanga,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2024-05-10
Manizales,la contaminación del río está aumentando.,Medio Ambiente,4,1,2024-09-19
Santa Marta,queremos más presencia policial.,Seguridad,3,2,2024-06-07
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,2,2024-03-01
Pereira,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-08-11
Medellín,faltan médicos en el centro de salud.,Salud,1,3,2023-07-11
Barranquilla,no hay suficientes escuelas públicas.,Educación,2,2,2023-01-06
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,2,2023-01-26
Manizales,queremos más presencia policial.,Seguridad,3,2,2024-06-04
Cúcuta,queremos más presencia policial.,Seguridad,3,2,2023-11-28
Bogotá,no hay suficientes escuelas públicas.,Educación,2,3,2023-05-10
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,4,2023-12-04
Barranquilla,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2023-07-15
Bogotá,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2023-08-16
Pereira,necesitamos más acceso a internet en la zona.,Educación,2,4,2023-01-22
Medellín,no hay suficientes escuelas públicas.,Educación,2,3,2024-07-29
Pereira,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2023-08-04
Barranquilla,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2024-05-03
Medellín,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2023-12-06
Santa Marta,la contaminación del río está aumentando.,Medio Ambiente,4,3,2024-05-23
Bucaramanga,faltan médicos en el centro de salud.,Salud,1,3,2023-06-22
Bogotá,la contaminación del río está aumentando.,Medio Ambiente,4,4,2024-08-12
Bucaramanga,falta agua potable en varias casas.,Salud,1,3,2023-06-04
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,2,2023-09-03
Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2023-04-03
Santa Marta,queremos más presencia policial.,Seguridad,3,2,2024-09-01
Bogotá,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2024-10-27
Cartagena,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2023-10-07
Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2023-08-26
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2023-09-02
Cali,la contaminación del río está aumentando.,Medio Ambiente,4,1,2023-07-02
Santa Marta,queremos más presencia policial.,Seguridad,3,2,2023-03-24
Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2023-01-03
Bogotá,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2023-04-06
Bogotá,faltan médicos en el centro de salud.,Salud,1,3,2023-12-31
Bucaramanga,necesitamos más acceso a internet en la zona.,Educación,2,1,2023-03-24
Cúcuta,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2024-05-31
Bogotá,necesitamos más acceso a internet en la zona.,Educación,2,3,2024-04-29
Bogotá,necesitamos más acceso a internet en la zona.,Educación,2,1,2023-09-20
Pereira,necesitamos más acceso a internet en la zona.,Educación,2,3,2023-01-09
Barranquilla,queremos más presencia policial.,Seguridad,3,1,2023-05-20
Bogotá,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2023-08-11
Manizales,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2024-06-25
Bucaramanga,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2024-08-22
Manizales,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2024-10-20
Bogotá,faltan médicos en el centro de salud.,Salud,1,2,2024-11-21
Bogotá,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2024-08-28
Pereira,falta agua potable en varias casas.,Salud,1,3,2023-04-25
Bucaramanga,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2023-06-08
Cali,falta agua potable en varias casas.,Salud,1,4,2024-04-26
Cali,falta agua potable en varias casas.,Salud,1,2,2023-07-07
Cartagena,queremos más presencia policial.,Seguridad,3,4,2023-12-16
Bucaramanga,faltan médicos en el centro de salud.,Salud,1,3,2023-12-03
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-03-15
Cúcuta,queremos más presencia policial.,Seguridad,3,1,2024-05-29
Medellín,no hay suficientes escuelas públicas.,Educación,2,4,2023-03-05
Santa Marta,queremos más presencia policial.,Seguridad,3,4,2023-08-19
Barranquilla,faltan médicos en el centro de salud.,Salud,1,2,2024-09-09
Barranquilla,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-09-28
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2024-03-24
Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-11-06
Manizales,faltan médicos en el centro de salud.,Salud,1,2,2023-03-16
Barranquilla,falta agua potable en varias casas.,Salud,1,1,2024-11-19
Bogotá,falta agua potable en varias casas.,Salud,1,3,2023-09-07
Cúcuta,no hay suficientes escuelas públicas.,Educación,2,4,2024-04-28
Cúcuta,necesitamos más acceso a internet en la zona.,Educación,2,1,2023-12-21
Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2023-09-15
Santa Marta,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-07-01
Cúcuta,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2023-01-15
Cali,queremos más presencia policial.,Seguridad,3,2,2023-05-05
Cartagena,no hay suficientes escuelas públicas.,Educación,2,2,2024-03-18
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,3,2023-07-25
Barranquilla,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2024-02-18
Pereira,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-07-03
Cartagena,la contaminación del río está aumentando.,Medio Ambiente,4,2,2023-01-23
Pereira,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2024-01-22
Cúcuta,la contaminación del río está aumentando.,Medio Ambiente,4,2,2023-11-27
Manizales,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-01-10
Bogotá,faltan médicos en el centro de salud.,Salud,1,2,2023-02-05
Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2023-10-13
Barranquilla,falta agua potable en varias casas.,Salud,1,4,2023-07-21
Cúcuta,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2024-06-23
Bucaramanga,la contaminación del río está aumentando.,Medio Ambiente,4,2,2023-06-27
Cali,falta agua potable en varias casas.,Salud,1,4,2024-06-30
Barranquilla,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2024-12-01
Manizales,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-03-10
Medellín,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2023-05-13
Medellín,la contaminación del río está aumentando.,Medio Ambiente,4,3,2023-09-17
Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2023-07-08
Santa Marta,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2023-06-09
Bucaramanga,no hay suficientes escuelas públicas.,Educación,2,1,2024-10-10
Bogotá,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2023-10-27
Santa Marta,faltan médicos en el centro de salud.,Salud,1,1,2024-05-26
Santa Marta,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2024-04-21
Manizales,queremos más presencia policial.,Seguridad,3,3,2023-02-20
Bucaramanga,necesitamos más acceso a internet en la zona.,Educación,2,3,2023-12-25
Cali,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-02-04
Santa Marta,no hay suficientes escuelas públicas.,Educación,2,1,2024-01-30
Barranquilla,falta agua potable en varias casas.,Salud,1,4,2024-08-08
Santa Marta,faltan médicos en el centro de salud.,Salud,1,2,2024-07-18
Cartagena,faltan médicos en el centro de salud.,Salud,1,1,2023-05-23
Pereira,falta agua potable en varias casas.,Salud,1,4,2023-09-14
Cúcuta,queremos más presencia policial.,Seguridad,3,3,2023-02-13
Barranquilla,falta agua potable en varias casas.,Salud,1,1,2024-01-07
Medellín,necesitamos más acceso a internet en la zona.,Educación,2,4,2023-09-19
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2024-10-11
Pereira,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2023-04-27
Pereira,queremos más presencia policial.,Seguridad,3,2,2023-12-27
Bogotá,no hay suficientes escuelas públicas.,Educación,2,4,2024-03-20
Santa Marta,no hay suficientes escuelas públicas.,Educación,2,2,2024-07-08
Medellín,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2024-12-01
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2023-03-25
Barranquilla,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-12-05
Pereira,la contaminación del río está aumentando.,Medio Ambiente,4,2,2023-10-13
Bogotá,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-05-13
Cúcuta,falta agua potable en varias casas.,Salud,1,2,2023-02-10
Manizales,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-02-11
Barranquilla,no hay suficientes escuelas públicas.,Educación,2,4,2024-05-04
Cali,falta agua potable en varias casas.,Salud,1,3,2024-10-27
Bogotá,falta agua potable en varias casas.,Salud,1,4,2024-08-23
Bucaramanga,no hay suficientes escuelas públicas.,Educación,2,3,2023-08-27
Cali,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2023-02-11
Medellín,no hay suficientes escuelas públicas.,Educación,2,2,2024-07-13
Cúcuta,necesitamos más acceso a internet en la zona.,Educación,2,2,2024-11-26
Cali,queremos más presencia policial.,Seguridad,3,1,2024-03-15
Barranquilla,necesitamos más acceso a internet en la zona.,Educación,2,1,2024-03-28
Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2023-04-07
Cali,no hay suficientes escuelas públicas.,Educación,2,1,2024-03-10
Cartagena,faltan médicos en el centro de salud.,Salud,1,4,2023-11-25
Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2024-05-31
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2023-03-20
Bogotá,queremos más presencia policial.,Seguridad,3,2,2023-12-15
Cali,necesitamos más acceso a internet en la zona.,Educación,2,2,2024-05-11
Bucaramanga,no hay suficientes escuelas públicas.,Educación,2,2,2024-07-18
Cartagena,la contaminación del río está aumentando.,Medio Ambiente,4,3,2023-06-09
Medellín,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2023-10-07
Cúcuta,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2024-08-15
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,1,2024-10-12
Cúcuta,faltan médicos en el centro de salud.,Salud,1,4,2024-11-15
Barranquilla,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2024-06-22
Cali,la contaminación del río está aumentando.,Medio Ambiente,4,3,2023-11-08
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2024-06-27
Bucaramanga,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2023-07-09
Santa Marta,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2024-04-11
Medellín,queremos más presencia policial.,Seguridad,3,3,2024-08-25
Cúcuta,faltan médicos en el centro de salud.,Salud,1,4,2023-12-30
Bogotá,necesitamos más acceso a internet en la zona.,Educación,2,4,2023-08-03
Santa Marta,necesitamos más acceso a internet en la zona.,Educación,2,3,2024-11-11
Pereira,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2023-10-26
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,3,2024-01-16
Pereira,no hay suficientes escuelas públicas.,Educación,2,1,2023-01-08
Cúcuta,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2023-01-19
Cúcuta,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-03-16
Bogotá,necesitamos más acceso a internet en la zona.,Educación,2,3,2023-12-12
Bogotá,la contaminación del río está aumentando.,Medio Ambiente,4,2,2023-01-11
Cali,queremos más presencia policial.,Seguridad,3,1,2023-02-21
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2023-07-14
Cartagena,falta agua potable en varias casas.,Salud,1,2,2024-07-26
Pereira,necesitamos más acceso a internet en la zona.,Educación,2,1,2024-07-26
Cúcuta,no hay suficientes escuelas públicas.,Educación,2,1,2023-09-05
Santa Marta,no hay suficientes escuelas públicas.,Educación,2,2,2024-07-14
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2023-10-06
Medellín,falta agua potable en varias casas.,Salud,1,4,2024-05-12
Santa Marta,queremos más presencia policial.,Seguridad,3,3,2024-05-01
Santa Marta,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2024-03-10
Barranquilla,no hay suficientes escuelas públicas.,Educación,2,4,2023-01-04
Cartagena,faltan médicos en el centro de salud.,Salud,1,1,2024-11-20
Bogotá,la contaminación del río está aumentando.,Medio Ambiente,4,2,2023-10-09
Medellín,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2023-09-12
Manizales,no hay suficientes escuelas públicas.,Educación,2,4,2023-11-24
Cali,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2024-05-20
Cali,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2023-07-08
Medellín,necesitamos más acceso a internet en la zona.,Educación,2,4,2023-11-18
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2023-01-03
Cartagena,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2024-09-19
Medellín,faltan médicos en el centro de salud.,Salud,1,3,2024-11-07
Cali,la contaminación del río está aumentando.,Medio Ambiente,4,3,2024-10-30
Santa Marta,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2024-06-26
Pereira,necesitamos más acceso a internet en la zona.,Educación,2,4,2023-10-01
Cúcuta,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-12-26
Cúcuta,falta agua potable en varias casas.,Salud,1,1,2023-06-10
Cartagena,no hay suficientes escuelas públicas.,Educación,2,4,2023-11-04
Medellín,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2024-03-09
Barranquilla,la contaminación del río está aumentando.,Medio Ambiente,4,1,2024-01-04
Cali,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-05-31
Cúcuta,la contaminación del río está aumentando.,Medio Ambiente,4,3,2024-09-27
Bucaramanga,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-02-28
Santa Marta,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2024-04-23
Manizales,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2024-09-13
Bucaramanga,falta agua potable en varias casas.,Salud,1,3,2024-08-19
Cali,falta agua potable en varias casas.,Salud,1,1,2024-01-22
Barranquilla,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2024-09-30
Bucaramanga,la contaminación del río está aumentando.,Medio Ambiente,4,4,2024-07-30
Barranquilla,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2024-06-28
Cúcuta,necesitamos más acceso a internet en la zona.,Educación,2,2,2023-05-14
Cali,necesitamos más acceso a internet en la zona.,Educación,2,2,2024-04-18
Manizales,queremos más presencia policial.,Seguridad,3,2,2023-11-15
Barranquilla,necesitamos más acceso a internet en la zona.,Educación,2,4,2024-08-24
Bucaramanga,faltan médicos en el centro de salud.,Salud,1,3,2024-10-30
Santa Marta,queremos más presencia policial.,Seguridad,3,3,2023-03-26
Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2024-02-23
Bogotá,faltan médicos en el centro de salud.,Salud,1,1,2023-12-23
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,4,2024-05-04
Cartagena,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-05-13
Cúcuta,necesitamos más acceso a internet en la zona.,Educación,2,2,2023-07-26
Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2024-09-26
Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-05-14
Pereira,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-02-07
Manizales,falta agua potable en varias casas.,Salud,1,2,2023-09-08
Santa Marta,faltan médicos en el centro de salud.,Salud,1,1,2023-06-01
Bucaramanga,queremos más presencia policial.,Seguridad,3,2,2023-08-03
Bogotá,queremos más presencia policial.,Seguridad,3,2,2024-03-27
Cúcuta,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2024-05-21
Bucaramanga,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2023-02-23
Cúcuta,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-10-15
Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2024-11-22
Cali,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2023-02-07
Bogotá,queremos más presencia policial.,Seguridad,3,2,2024-06-12
Cartagena,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-09-17
Bogotá,queremos más presencia policial.,Seguridad,3,2,2024-10-16
Manizales,queremos más presencia policial.,Seguridad,3,1,2024-03-09
Santa Marta,faltan médicos en el centro de salud.,Salud,1,1,2024-10-11
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2024-07-17
Cali,no hay suficientes escuelas públicas.,Educación,2,2,2024-02-21
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,4,2024-07-06
Santa Marta,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-12-25
Santa Marta,no hay suficientes escuelas públicas.,Educación,2,3,2024-06-18
Cali,faltan médicos en el centro de salud.,Salud,1,1,2024-03-16
Santa Marta,la contaminación del río está aumentando.,Medio Ambiente,4,4,2024-10-12
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2023-07-27
Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2024-02-18
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,3,2024-03-08
Medellín,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2024-06-28
Santa Marta,necesitamos más acceso a internet en la zona.,Educación,2,1,2024-01-03
Barranquilla,no hay suficientes escuelas públicas.,Educación,2,2,2024-06-01
Barranquilla,no hay suficientes escuelas públicas.,Educación,2,4,2024-06-27
Bucaramanga,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2023-12-25
Bogotá,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2024-01-20
Santa Marta,faltan médicos en el centro de salud.,Salud,1,4,2024-03-08
Santa Marta,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2024-07-14
Barranquilla,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2024-02-23
Bogotá,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2024-10-19
Barranquilla,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-03-19
Pereira,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2023-03-29
Cali,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2024-09-08
Cúcuta,no hay suficientes escuelas públicas.,Educación,2,2,2023-01-15
Cali,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-09-10
Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2024-06-22
Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2023-08-11
Medellín,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2023-12-19
Cali,la contaminación del río está aumentando.,Medio Ambiente,4,3,2023-02-01
Medellín,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2024-10-03
Medellín,faltan médicos en el centro de salud.,Salud,1,3,2024-05-05
Bogotá,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-10-27
Manizales,faltan médicos en el centro de salud.,Salud,1,1,2024-02-29
Manizales,no hay suficientes escuelas públicas.,Educación,2,4,2024-02-29
Cúcuta,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2024-07-16
Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2023-01-15
Cartagena,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2023-01-14
Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2024-01-25
Cúcuta,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-02-21
Bucaramanga,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-11-05
Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2023-11-15
Cali,necesitamos más acceso a internet en la zona.,Educación,2,3,2023-05-01
Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2023-08-10
Bogotá,faltan médicos en el centro de salud.,Salud,1,3,2024-02-27
Santa Marta,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-10-27
Cali,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2023-10-20
Medellín,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-01-22
Barranquilla,no hay suficientes escuelas públicas.,Educación,2,3,2024-09-10
Bucaramanga,queremos más presencia policial.,Seguridad,3,2,2024-04-19
Pereira,necesitamos más acceso a internet en la zona.,Educación,2,3,2023-06-28
Medellín,necesitamos más acceso a internet en la zona.,Educación,2,4,2023-07-20
Medellín,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2024-08-06
Medellín,falta agua potable en varias casas.,Salud,1,2,2023-02-24
Barranquilla,queremos más presencia policial.,Seguridad,3,2,2023-05-28
Cali,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2024-01-18
Barranquilla,la contaminación del río está aumentando.,Medio Ambiente,4,3,2023-10-03
Manizales,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2024-06-16
Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2023-12-08
Cali,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2023-10-05
Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2024-03-21
Santa Marta,falta agua potable en varias casas.,Salud,1,3,2023-05-29
Santa Marta,queremos más presencia policial.,Seguridad,3,4,2023-12-25
Pereira,falta agua potable en varias casas.,Salud,1,2,2023-01-11
Pereira,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2023-07-08
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-06-25
Medellín,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2024-04-14
Pereira,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2024-01-25
Barranquilla,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2024-11-19
Bucaramanga,necesitamos más acceso a internet en la zona.,Educación,2,4,2024-03-26
Santa Marta,la contaminación del río está aumentando.,Medio Ambiente,4,4,2024-03-25
Manizales,no hay suficientes escuelas públicas.,Educación,2,4,2024-08-07
Manizales,faltan médicos en el centro de salud.,Salud,1,3,2023-01-31
Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2023-12-15
Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2023-05-13
Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2024-06-22
Bogotá,faltan médicos en el centro de salud.,Salud,1,2,2023-04-17
